Time,#CO2,#Hum,#Temp
2019-06-10 01-00-02,432,20.4269,34.9069
2019-06-10 01-00-04,432,20.3537,34.9203
2019-06-10 01-00-06,432,20.34,34.9496
2019-06-10 01-00-08,432,20.3766,34.9363
2019-06-10 01-00-12,432,20.3064,34.963
2019-06-10 01-00-14,432,20.3217,34.9496
2019-06-10 01-00-16,432,20.3384,34.9203
2019-06-10 01-00-18,433,20.3354,34.8802
2019-06-10 01-00-20,432,20.3903,34.8802
2019-06-10 01-00-22,432,20.3903,34.9069
2019-06-10 01-00-24,431,20.3766,34.963
2019-06-10 01-00-26,431,20.3583,34.9924
2019-06-10 01-00-30,432,20.2744,35.0057
2019-06-10 01-00-32,432,20.3247,34.9763
2019-06-10 01-00-34,433,20.2347,34.963
2019-06-10 01-00-36,433,20.3079,34.9924
2019-06-10 01-00-38,433,20.2744,35.0191
2019-06-10 01-00-40,433,20.2423,35.0618
2019-06-10 01-00-42,433,20.2057,35.0912
2019-06-10 01-00-44,433,20.192,35.1179
2019-06-10 01-00-48,434,20.192,35.1472
2019-06-10 01-00-50,434,20.1065,35.1606
2019-06-10 01-00-52,434,20.1569,35.1472
2019-06-10 01-00-54,433,20.0729,35.1606
2019-06-10 01-00-57,434,20.0729,35.174
2019-06-10 01-00-59,434,20.1065,35.174
2019-06-10 01-01-01,434,20.0729,35.1873
2019-06-10 01-01-05,434,20.0912,35.1873
2019-06-10 01-01-07,434,20.0363,35.2033
2019-06-10 01-01-09,434,20.0882,35.1472
2019-06-10 01-01-11,434,20.0699,35.1472
2019-06-10 01-01-13,434,20.1233,35.1312
2019-06-10 01-01-15,433,20.1233,35.1472
2019-06-10 01-01-17,433,20.1019,35.1045
2019-06-10 01-01-19,432,20.0867,35.1312
2019-06-10 01-01-23,432,20.1233,35.1472
2019-06-10 01-01-25,432,20.0882,35.1472
2019-06-10 01-01-27,432,20.1248,35.1873
2019-06-10 01-01-29,432,20.0912,35.1873
2019-06-10 01-01-31,432,20.0912,35.174
2019-06-10 01-01-33,432,20.0729,35.1606
2019-06-10 01-01-35,432,20.1233,35.1472
2019-06-10 01-01-39,432,20.1065,35.1606
