Time,#CO2,#Hum,#Temp
2019-06-11 01-00-03,403,22.1054,34.5945
2019-06-11 01-00-05,404,22.0886,34.5811
2019-06-11 01-00-07,404,22.1054,34.5811
2019-06-11 01-00-09,403,22.052,34.5544
2019-06-11 01-00-11,404,22.0688,34.5544
2019-06-11 01-00-15,404,22.1024,34.5678
2019-06-11 01-00-17,404,22.139,34.5945
2019-06-11 01-00-19,404,22.0886,34.6239
2019-06-11 01-00-21,404,22.0917,34.6105
2019-06-11 01-00-23,404,22.0184,34.6372
2019-06-11 01-00-25,404,22.0367,34.6372
2019-06-11 01-00-27,404,22.0367,34.6239
2019-06-11 01-00-31,404,22.0001,34.6372
2019-06-11 01-00-33,403,22.0016,34.6666
2019-06-11 01-00-35,403,21.9681,34.6532
2019-06-11 01-00-37,403,22.0367,34.6532
2019-06-11 01-00-39,403,22.0566,34.6239
2019-06-11 01-00-41,403,22.0001,34.6532
2019-06-11 01-00-43,403,22.0367,34.6532
2019-06-11 01-00-45,403,22.02,34.6239
2019-06-11 01-00-49,403,22.0184,34.6239
2019-06-11 01-00-51,403,22.0734,34.5945
2019-06-11 01-00-53,403,22.0886,34.5678
2019-06-11 01-00-55,403,22.052,34.5945
2019-06-11 01-00-57,403,22.0703,34.5945
2019-06-11 01-00-59,403,22.0886,34.5945
2019-06-11 01-01-01,404,22.0337,34.5544
2019-06-11 01-01-05,404,22.0505,34.5251
2019-06-11 01-01-07,404,22.0291,34.5251
2019-06-11 01-01-09,405,22.171,34.5117
2019-06-11 01-01-11,405,22.1161,34.4984
2019-06-11 01-01-13,405,22.1512,34.469
2019-06-11 01-01-15,404,22.1878,34.469
2019-06-11 01-01-17,404,22.2397,34.4556
2019-06-11 01-01-19,404,22.1848,34.4263
2019-06-11 01-01-23,404,22.2885,34.4556
2019-06-11 01-01-25,404,22.29,34.469
2019-06-11 01-01-27,404,22.2397,34.4984
2019-06-11 01-01-29,404,22.2397,34.469
2019-06-11 01-01-31,404,22.2214,34.4556
2019-06-11 01-01-33,403,22.2382,34.4823
2019-06-11 01-01-35,403,22.2214,34.4984
2019-06-11 01-01-39,403,22.2061,34.5678
2019-06-11 01-01-41,403,22.139,34.5544
2019-06-11 01-01-43,402,22.1558,34.5544
2019-06-11 01-01-45,402,22.1024,34.5544
2019-06-11 01-01-47,402,22.1024,34.5678
2019-06-11 01-01-49,403,22.0871,34.5678
2019-06-11 01-01-51,403,22.0871,34.5678
2019-06-11 01-01-53,403,22.1054,34.5544
2019-06-11 01-01-57,403,22.0871,34.5811
2019-06-11 01-01-59,403,22.0703,34.5544
2019-06-11 01-02-01,403,22.0688,34.5384
2019-06-11 01-02-03,403,22.1375,34.5384
2019-06-11 01-02-05,403,22.1527,34.5251
2019-06-11 01-02-07,403,22.171,34.4984
2019-06-11 01-02-09,403,22.1695,34.5384
2019-06-11 01-02-13,403,22.1191,34.5678
2019-06-11 01-02-15,403,22.1741,34.5945
2019-06-11 01-02-17,403,22.0886,34.6239
2019-06-11 01-02-19,404,22.0734,34.5811
2019-06-11 01-02-21,404,22.0703,34.6105
2019-06-11 01-02-23,405,22.0734,34.5945
2019-06-11 01-02-25,405,22.0886,34.6105
2019-06-11 01-02-27,405,22.0184,34.6239
2019-06-11 01-02-31,406,22.0734,34.5945
2019-06-11 01-02-33,406,22.0337,34.5945
2019-06-11 01-02-35,406,22.0886,34.6239
2019-06-11 01-02-37,405,22.0734,34.6239
2019-06-11 01-02-39,405,22.0184,34.6532
2019-06-11 01-02-41,404,22.0749,34.5945
2019-06-11 01-02-43,404,22.0337,34.5811
2019-06-11 01-02-48,404,22.052,34.5678
2019-06-11 01-02-50,405,22.0322,34.5384
2019-06-11 01-02-52,405,22.0505,34.5251
2019-06-11 01-02-54,405,22.1191,34.4984
2019-06-11 01-02-56,404,22.1161,34.4823
2019-06-11 01-02-58,405,22.1664,34.469
2019-06-11 01-03-00,405,22.1878,34.4129
2019-06-11 01-03-02,405,22.2351,34.3568
2019-06-11 01-03-06,404,22.2656,34.3301
2019-06-11 01-03-08,405,22.2656,34.2687
2019-06-11 01-03-10,404,22.403,34.2687
2019-06-11 01-03-12,405,22.3846,34.2126
2019-06-11 01-03-14,404,22.4686,34.1993
2019-06-11 01-03-16,404,22.5052,34.1432
2019-06-11 01-03-18,404,22.5189,34.1432
2019-06-11 01-03-22,404,22.554,34.1299
2019-06-11 01-03-24,403,22.6044,34.0871
2019-06-11 01-03-26,403,22.6562,34.0604
2019-06-11 01-03-28,403,22.6883,34.0444
2019-06-11 01-03-30,403,22.6883,34.0043
2019-06-11 01-03-32,403,22.7203,34.0177
2019-06-11 01-03-34,402,22.7753,33.9883
2019-06-11 01-03-36,402,22.7737,34.0043
2019-06-11 01-03-40,402,22.7371,33.9883
2019-06-11 01-03-42,401,22.7737,33.975
2019-06-11 01-03-44,402,22.7737,33.975
2019-06-11 01-03-46,402,22.8424,33.975
2019-06-11 01-03-48,401,22.8424,34.0311
2019-06-11 01-03-50,401,22.7753,34.0444
2019-06-11 01-03-52,401,22.7783,34.1299
2019-06-11 01-03-56,401,22.7646,34.1299
2019-06-11 01-03-58,400,22.6776,34.1859
2019-06-11 01-04-00,400,22.6639,34.2287
2019-06-11 01-04-02,400,22.6105,34.2687
2019-06-11 01-04-04,401,22.5266,34.2847
2019-06-11 01-04-06,401,22.4945,34.2847
2019-06-11 01-04-08,402,22.403,34.3141
2019-06-11 01-04-10,402,22.4396,34.3301
2019-06-11 01-04-14,402,22.3709,34.3702
2019-06-11 01-04-16,403,22.3755,34.4263
2019-06-11 01-04-18,403,22.3618,34.4263
2019-06-11 01-04-20,403,22.3221,34.3862
2019-06-11 01-04-22,403,22.3038,34.3702
2019-06-11 01-04-24,403,22.3389,34.3141
2019-06-11 01-04-26,403,22.3358,34.3141
2019-06-11 01-04-28,404,22.4045,34.2687
2019-06-11 01-04-32,404,22.4365,34.2847
2019-06-11 01-04-34,404,22.4396,34.2554
2019-06-11 01-04-36,404,22.4915,34.2554
2019-06-11 01-04-38,405,22.5266,34.242
2019-06-11 01-04-40,404,22.5235,34.2126
2019-06-11 01-04-42,404,22.5586,34.2126
2019-06-11 01-04-44,404,22.5403,34.2126
2019-06-11 01-04-48,404,22.5586,34.2554
2019-06-11 01-04-50,404,22.5266,34.3141
2019-06-11 01-04-52,403,22.4945,34.3141
2019-06-11 01-04-54,403,22.4045,34.3435
2019-06-11 01-04-56,403,22.4411,34.3702
2019-06-11 01-04-58,404,22.3755,34.4129
2019-06-11 01-05-00,404,22.377,34.4129
2019-06-11 01-05-02,404,22.2885,34.4556
2019-06-11 01-05-06,404,22.29,34.4423
2019-06-11 01-05-08,404,22.2534,34.4556
2019-06-11 01-05-10,404,22.2565,34.4423
2019-06-11 01-05-12,404,22.2198,34.4263
2019-06-11 01-05-14,405,22.2534,34.3862
2019-06-11 01-05-16,406,22.2672,34.3996
2019-06-11 01-05-18,406,22.3404,34.3862
2019-06-11 01-05-22,406,22.3938,34.3996
2019-06-11 01-05-24,405,22.3404,34.4556
2019-06-11 01-05-26,405,22.2717,34.4556
2019-06-11 01-05-28,405,22.29,34.4823
2019-06-11 01-05-30,405,22.2214,34.5117
2019-06-11 01-05-32,405,22.2076,34.5117
2019-06-11 01-05-34,406,22.1893,34.5384
2019-06-11 01-05-36,406,22.171,34.5678
2019-06-11 01-05-40,406,22.139,34.5678
2019-06-11 01-05-42,406,22.1054,34.5678
2019-06-11 01-05-44,406,22.1054,34.6105
2019-06-11 01-05-46,406,22.0734,34.6105
2019-06-11 01-05-48,407,22.0886,34.6105
2019-06-11 01-05-50,407,22.0734,34.5678
2019-06-11 01-05-52,408,22.0871,34.5384
2019-06-11 01-05-56,408,22.0657,34.4823
2019-06-11 01-05-58,409,22.1664,34.4263
2019-06-11 01-06-00,410,22.2015,34.3862
2019-06-11 01-06-02,410,22.2519,34.3141
2019-06-11 01-06-04,410,22.2977,34.3141
2019-06-11 01-06-06,409,22.3526,34.2981
2019-06-11 01-06-08,409,22.4045,34.2687
2019-06-11 01-06-10,408,22.5098,34.2687
2019-06-11 01-06-14,407,22.4915,34.2981
2019-06-11 01-06-16,407,22.4579,34.3301
2019-06-11 01-06-18,407,22.4411,34.2687
2019-06-11 01-06-20,407,22.4365,34.2847
